date,city,latitude,longitude,deviceCategory,goal3Completions,goal5Completions,sessions
2019-05-01,Edinburgh,55.9533,-3.1883,desktop,0,2,52
2019-07-23,Kilmarnock,55.6147,-4.4988,desktop,1,0,2
2019-01-30,(not set),0.0000,0.0000,desktop,0,1,5
2019-07-10,Glasgow,55.8642,-4.2518,mobile,0,1,53
2019-05-01,Edinburgh,55.9533,-3.1883,desktop,0,2,52
2019-06-14,Bradford,53.7960,-1.7594,desktop,1,0,1
2019-03-31,Edinburgh,55.9533,-3.1883,desktop,0,1,19
2019-07-22,Leeds,53.8008,-1.5491,desktop,0,1,6
2019-03-06,Glasgow,55.8642,-4.2518,desktop,1,0,41
2019-04-04,Kirkintilloch,55.9392,-4.1562,desktop,1,0,1
2019-08-07,London,51.5074,-0.1278,desktop,0,1,29
2019-03-01,Glasgow,55.8642,-4.2518,mobile,0,1,44
2019-02-08,Edinburgh,55.9533,-3.1883,mobile,0,1,65
2019-06-30,Edinburgh,55.9533,-3.1883,mobile,1,0,27
2019-02-06,London,51.5074,-0.1278,desktop,0,1,29
2019-02-07,Glasgow,55.8642,-4.2518,tablet,1,0,7
2019-07-25,Edinburgh,55.9533,-3.1883,desktop,1,2,48
2019-05-28,Pudsey,53.7958,-1.6761,mobile,1,0,3
2019-04-30,Edinburgh,55.9533,-3.1883,desktop,0,1,67
2019-04-06,Edinburgh,55.9533,-3.1883,mobile,0,1,31
2019-07-04,London,51.5074,-0.1278,mobile,0,2,58
2019-06-13,Edinburgh,55.9533,-3.1883,mobile,1,0,30
2019-01-31,Edinburgh,55.9533,-3.1883,mobile,0,2,59
2019-02-03,Edinburgh,55.9533,-3.1883,desktop,0,1,24
2019-05-21,Edinburgh,55.9533,-3.1883,desktop,1,0,58
2019-09-01,Edinburgh,55.9533,-3.1883,desktop,1,1,28
2019-08-07,London,51.5074,-0.1278,desktop,0,1,29
2019-06-29,Motherwell,55.7832,-3.9811,desktop,1,0,1
2019-02-04,Glasgow,55.8642,-4.2518,desktop,3,0,38
2019-08-24,Edinburgh,55.9533,-3.1883,mobile,0,1,34
2019-08-31,Glasgow,55.8642,-4.2518,mobile,2,0,26
2019-08-07,Edinburgh,55.9533,-3.1883,mobile,0,1,57
2019-02-22,Livingston,55.9007,-3.5181,desktop,0,1,6
2019-07-08,Dunfermline,56.0717,-3.4522,desktop,0,1,1
2019-02-05,Glasgow,55.8642,-4.2518,desktop,1,0,44
2019-06-19,Edinburgh,55.9533,-3.1883,tablet,0,1,2
2019-07-19,Edinburgh,55.9533,-3.1883,desktop,0,3,62
2019-06-24,Edinburgh,55.9533,-3.1883,desktop,0,1,87
2019-08-09,(not set),0.0000,0.0000,mobile,0,1,18
2019-03-31,Edinburgh,55.9533,-3.1883,desktop,0,1,19
2019-07-20,Edinburgh,55.9533,-3.1883,tablet,0,1,3
2019-02-07,Glasgow,55.8642,-4.2518,tablet,1,0,7
2019-08-05,Glasgow,55.8642,-4.2518,desktop,1,0,37
2019-01-30,Edinburgh,55.9533,-3.1883,mobile,0,1,56
2019-04-04,Glenrothes,56.2008,-3.1599,desktop,0,1,2
2019-02-28,Edinburgh,55.9533,-3.1883,desktop,0,4,62
2019-07-15,Edinburgh,55.9533,-3.1883,desktop,0,2,71
2019-06-19,Marlow,51.5719,-0.7769,desktop,1,0,1
2019-08-12,Livingston,55.9007,-3.5181,mobile,0,1,4
2019-06-16,Edinburgh,55.9533,-3.1883,desktop,0,1,24
2019-03-17,Livingston,55.9007,-3.5181,desktop,0,1,2
2019-04-28,Glasgow,55.8642,-4.2518,desktop,1,0,14
2019-06-04,Glasgow,55.8642,-4.2518,mobile,1,1,42
2019-08-11,Glasgow,55.8642,-4.2518,mobile,0,1,32
2019-04-04,(not set),0.0000,0.0000,mobile,0,1,7
2019-07-10,Glasgow,55.8642,-4.2518,desktop,1,0,52
2019-07-11,East Kilbride,55.7644,-4.1770,mobile,1,0,2
2019-08-27,Glasgow,55.8642,-4.2518,mobile,2,0,39
2019-06-15,Glasgow,55.8642,-4.2518,mobile,0,1,48
2019-08-20,London,51.5074,-0.1278,mobile,1,0,33
2019-07-10,Croydon,51.3762,-0.0982,desktop,1,0,2
2019-02-22,Newton Aycliffe,54.6160,-1.5756,desktop,0,1,1
2019-02-04,Edinburgh,55.9533,-3.1883,desktop,0,2,65
2019-02-04,North Shields,55.0108,-1.4491,mobile,0,1,2
2019-08-18,Glasgow,55.8642,-4.2518,desktop,1,0,21
2019-02-05,Glasgow,55.8642,-4.2518,desktop,1,0,44
2019-04-02,Edinburgh,55.9533,-3.1883,desktop,0,4,56
2019-07-10,Glasgow,55.8642,-4.2518,desktop,1,0,52
2019-03-16,Edinburgh,55.9533,-3.1883,mobile,0,1,24
2019-08-07,London,51.5074,-0.1278,desktop,0,1,29
2019-08-13,London,51.5074,-0.1278,mobile,0,1,48
2019-08-02,(not set),0.0000,0.0000,desktop,0,1,19
2019-05-27,East Kilbride,55.7644,-4.1770,mobile,1,0,2
2019-05-27,Glasgow,55.8642,-4.2518,mobile,1,0,41
2019-06-21,London,51.5074,-0.1278,mobile,0,1,39
2019-09-01,Edinburgh,55.9533,-3.1883,desktop,1,1,28
2019-08-07,Livingston,55.9007,-3.5181,mobile,0,1,7
2019-03-04,Edinburgh,55.9533,-3.1883,desktop,0,2,68
2019-08-31,Glasgow,55.8642,-4.2518,mobile,2,0,26
2019-02-09,(not set),0.0000,0.0000,desktop,0,1,6
2019-08-12,Huddersfield,53.6458,-1.7850,mobile,0,1,1
2019-02-02,Glasgow,55.8642,-4.2518,mobile,2,0,30
2019-06-17,Edinburgh,55.9533,-3.1883,mobile,0,1,56
2019-03-16,Edinburgh,55.9533,-3.1883,mobile,0,1,24
2019-04-26,Edinburgh,55.9533,-3.1883,desktop,1,0,55
2019-08-01,London,51.5074,-0.1278,desktop,1,0,26
2019-05-28,London,51.5074,-0.1278,mobile,0,1,53
2019-07-13,Glasgow,55.8642,-4.2518,desktop,0,1,19
2019-09-04,Glasgow,55.8642,-4.2518,mobile,3,0,40
2019-08-12,Glasgow,55.8642,-4.2518,desktop,1,0,39
2019-06-18,Glasgow,55.8642,-4.2518,mobile,1,0,65
2019-05-12,Edinburgh,55.9533,-3.1883,mobile,0,1,29
2019-08-30,London,51.5074,-0.1278,desktop,1,0,23
2019-06-26,Edinburgh,55.9533,-3.1883,desktop,1,0,62
2019-04-29,Glasgow,55.8642,-4.2518,desktop,1,0,47
2019-06-16,London,51.5074,-0.1278,mobile,0,1,23
2019-02-27,Glasgow,55.8642,-4.2518,desktop,1,0,44
2019-04-27,Glasgow,55.8642,-4.2518,mobile,1,0,39
2019-08-23,Kingston,50.6163,-2.0620,mobile,0,1,1
2019-08-24,Edinburgh,55.9533,-3.1883,mobile,0,1,34
2019-03-11,Musselburgh,55.9419,-3.0539,desktop,0,1,3
2019-08-22,London,51.5074,-0.1278,mobile,1,0,50
2019-08-12,Warsaw,52.2297,21.0122,desktop,0,1,1
2019-04-29,London,51.5074,-0.1278,mobile,0,1,41
2019-08-12,Birmingham,52.4862,-1.8904,mobile,0,1,1
2019-08-01,(not set),0.0000,0.0000,desktop,1,1,21
2019-07-23,London,51.5074,-0.1278,desktop,0,1,26
2019-07-04,Aberdeen,57.1497,-2.0943,mobile,0,1,5
2019-02-02,Glasgow,55.8642,-4.2518,desktop,1,1,24
2019-06-27,Hamilton,55.7776,-4.0537,desktop,1,0,7
2019-05-01,Glasgow,55.8642,-4.2518,mobile,1,0,71
2019-08-04,Glasgow,55.8642,-4.2518,desktop,1,0,13
2019-08-12,Livingston,55.9007,-3.5181,mobile,0,1,4
2019-09-04,Glasgow,55.8642,-4.2518,mobile,3,0,40
2019-03-03,Glasgow,55.8642,-4.2518,desktop,1,0,24
2019-09-04,Edinburgh,55.9533,-3.1883,mobile,0,2,71
2019-07-02,Edinburgh,55.9533,-3.1883,desktop,0,2,55
2019-08-07,Livingston,55.9007,-3.5181,mobile,0,1,7
2019-09-06,Edinburgh,55.9533,-3.1883,desktop,0,2,47
2019-05-02,Glasgow,55.8642,-4.2518,desktop,1,0,59
2019-07-22,Hamilton,55.7776,-4.0537,mobile,1,0,5
2019-07-03,Edinburgh,55.9533,-3.1883,desktop,1,2,58
2019-08-06,London,51.5074,-0.1278,mobile,1,0,24
2019-08-19,Edinburgh,55.9533,-3.1883,mobile,2,2,49
2019-07-11,Coatbridge,55.8622,-4.0193,desktop,1,0,4
2019-02-22,Edinburgh,55.9533,-3.1883,desktop,0,1,39
2019-08-10,Edinburgh,55.9533,-3.1883,mobile,0,1,30
2019-08-12,Huddersfield,53.6458,-1.7850,mobile,0,1,1
2019-08-25,Ayr,55.4586,-4.6292,tablet,1,0,1
2019-02-22,Glasgow,55.8642,-4.2518,mobile,0,1,39
2019-08-09,London,51.5074,-0.1278,desktop,0,1,29
2019-07-18,London,51.5074,-0.1278,mobile,0,1,30
2019-08-28,Edinburgh,55.9533,-3.1883,mobile,1,0,71
2019-04-04,(not set),0.0000,0.0000,mobile,0,1,7
2019-08-31,Aberdeen,57.1497,-2.0943,desktop,0,1,1
2019-02-09,Edinburgh,55.9533,-3.1883,mobile,0,1,46
2019-03-07,Glasgow,55.8642,-4.2518,mobile,1,0,34
2019-02-04,Edinburgh,55.9533,-3.1883,desktop,0,2,65
2019-05-31,Glasgow,55.8642,-4.2518,desktop,1,0,21
2019-02-22,Glasgow,55.8642,-4.2518,mobile,0,1,39
2019-04-04,Glenrothes,56.2008,-3.1599,desktop,0,1,2
2019-08-27,Edinburgh,55.9533,-3.1883,desktop,1,3,69
2019-03-12,Glasgow,55.8642,-4.2518,desktop,2,0,51
2019-04-09,Glenrothes,56.2008,-3.1599,desktop,0,1,3
2019-07-08,Dunfermline,56.0717,-3.4522,desktop,0,1,1
2019-01-28,Glasgow,55.8642,-4.2518,desktop,2,0,34
2019-07-09,Edinburgh,55.9533,-3.1883,desktop,1,1,66
2019-08-04,Glasgow,55.8642,-4.2518,mobile,2,0,41
2019-08-21,(not set),0.0000,0.0000,mobile,0,1,12
2019-07-21,Glasgow,55.8642,-4.2518,desktop,1,0,21
2019-02-04,North Shields,55.0108,-1.4491,mobile,0,1,2
2019-08-03,Paisley,55.8473,-4.4401,mobile,1,0,1
2019-09-02,Glasgow,55.8642,-4.2518,desktop,1,0,39
2019-07-10,Glasgow,55.8642,-4.2518,desktop,1,0,52
2019-08-02,(not set),0.0000,0.0000,desktop,0,1,19
2019-05-03,Inveraray,56.2318,-5.0754,mobile,1,0,1
2019-06-21,London,51.5074,-0.1278,mobile,0,1,39
2019-06-14,Bradford,53.7960,-1.7594,desktop,1,0,1
2019-08-29,North Berwick,56.0584,-2.7196,desktop,0,1,1
2019-07-01,East Kilbride,55.7644,-4.1770,mobile,1,0,1
2019-08-28,London,51.5074,-0.1278,mobile,1,1,45
2019-09-02,London,51.5074,-0.1278,desktop,1,0,35
2019-07-08,Dunfermline,56.0717,-3.4522,desktop,0,1,1
2019-06-18,Glasgow,55.8642,-4.2518,mobile,1,0,65
2019-08-22,London,51.5074,-0.1278,mobile,1,0,50
2019-02-06,Edinburgh,55.9533,-3.1883,desktop,0,5,68
2019-05-28,Pudsey,53.7958,-1.6761,mobile,1,0,3
2019-05-22,East Kilbride,55.7644,-4.1770,mobile,1,0,3
2019-02-10,Edinburgh,55.9533,-3.1883,mobile,0,1,48
2019-05-31,Glasgow,55.8642,-4.2518,mobile,1,0,25
2019-08-25,Glasgow,55.8642,-4.2518,mobile,1,0,19
2019-04-16,Glasgow,55.8642,-4.2518,desktop,1,0,49
2019-02-08,Coatbridge,55.8622,-4.0193,desktop,0,1,4
2019-06-24,Edinburgh,55.9533,-3.1883,mobile,0,1,53
2019-06-25,Glasgow,55.8642,-4.2518,mobile,2,0,47
2019-07-09,London,51.5074,-0.1278,mobile,0,1,26
2019-08-28,Edinburgh,55.9533,-3.1883,mobile,1,0,71
2019-03-21,Edinburgh,55.9533,-3.1883,desktop,0,1,61
2019-08-26,Glasgow,55.8642,-4.2518,mobile,0,1,42
2019-01-30,Irvine,55.6116,-4.6696,desktop,1,0,2
2019-09-04,London,51.5074,-0.1278,mobile,1,0,51
2019-08-09,Kilwinning,55.6559,-4.7031,desktop,1,0,1
2019-02-06,Edinburgh,55.9533,-3.1883,desktop,0,5,68
2019-08-04,Edinburgh,55.9533,-3.1883,desktop,0,1,18
2019-08-02,Edinburgh,55.9533,-3.1883,desktop,0,1,43
2019-08-27,Glasgow,55.8642,-4.2518,mobile,2,0,39
2019-03-19,Ashington,55.1830,-1.5660,desktop,0,1,6
2019-03-12,Edinburgh,55.9533,-3.1883,mobile,0,1,29
2019-02-02,Cumbernauld,55.9457,-3.9925,mobile,1,0,2
2019-06-17,London,51.5074,-0.1278,desktop,1,0,39
2019-08-27,Glasgow,55.8642,-4.2518,mobile,2,0,39
2019-07-20,Aberdeen,57.1497,-2.0943,desktop,0,1,3
2019-08-08,Cumbernauld,55.9457,-3.9925,desktop,2,0,3
2019-03-16,Sale,53.4256,-2.3237,desktop,0,1,2
2019-08-13,Edinburgh,55.9533,-3.1883,desktop,0,2,69
2019-04-30,Kilmarnock,55.6147,-4.4988,desktop,1,0,1
2019-03-23,Edinburgh,55.9533,-3.1883,mobile,0,1,25
2019-09-05,Glasgow,55.8642,-4.2518,mobile,0,1,33
2019-03-23,Edinburgh,55.9533,-3.1883,mobile,0,1,25
2019-06-06,Edinburgh,55.9533,-3.1883,desktop,0,1,66
2019-07-17,(not set),0.0000,0.0000,mobile,0,1,24
2019-08-22,Glasgow,55.8642,-4.2518,desktop,1,0,53
2019-02-03,Edinburgh,55.9533,-3.1883,desktop,0,1,24
2019-06-15,Downpatrick,54.3288,-5.7157,mobile,1,0,3
2019-08-17,Glasgow,55.8642,-4.2518,mobile,1,1,34
2019-07-14,(not set),0.0000,0.0000,tablet,0,1,1
2019-08-19,Glasgow,55.8642,-4.2518,desktop,0,1,41
2019-07-15,Dunfermline,56.0717,-3.4522,mobile,0,1,1
2019-02-18,London,51.5074,-0.1278,mobile,0,1,34
2019-08-31,London,51.5074,-0.1278,mobile,1,0,29
2019-05-10,Edinburgh,55.9533,-3.1883,mobile,0,2,64
2019-05-27,East Kilbride,55.7644,-4.1770,mobile,1,0,2
2019-06-29,Motherwell,55.7832,-3.9811,desktop,1,0,1
2019-08-13,(not set),0.0000,0.0000,mobile,0,1,13
2019-06-18,London,51.5074,-0.1278,desktop,0,1,24
2019-08-14,London,51.5074,-0.1278,desktop,1,0,22
2019-02-28,Edinburgh,55.9533,-3.1883,desktop,0,4,62
2019-08-05,Glasgow,55.8642,-4.2518,desktop,1,0,37
2019-07-10,Glasgow,55.8642,-4.2518,mobile,0,1,53
2019-08-27,Edinburgh,55.9533,-3.1883,desktop,1,3,69
2019-08-12,Livingston,55.9007,-3.5181,desktop,0,1,1
2019-04-26,Glasgow,55.8642,-4.2518,mobile,1,0,43
2019-02-02,Cumbernauld,55.9457,-3.9925,mobile,1,0,2
2019-06-17,London,51.5074,-0.1278,desktop,1,0,39
2019-08-23,Glasgow,55.8642,-4.2518,desktop,3,0,25
2019-04-24,Glasgow,55.8642,-4.2518,desktop,1,0,61
2019-07-28,Edinburgh,55.9533,-3.1883,desktop,0,1,20
2019-08-04,Glasgow,55.8642,-4.2518,desktop,1,0,13
2019-08-27,Glasgow,55.8642,-4.2518,mobile,2,0,39
2019-06-03,(not set),0.0000,0.0000,mobile,1,0,13
2019-03-29,London,51.5074,-0.1278,desktop,0,1,37
2019-07-25,Edinburgh,55.9533,-3.1883,desktop,1,2,48
2019-05-02,Glasgow,55.8642,-4.2518,desktop,1,0,59
2019-07-16,(not set),0.0000,0.0000,desktop,0,1,19
2019-02-25,Glasgow,55.8642,-4.2518,desktop,1,0,77
2019-08-16,London,51.5074,-0.1278,mobile,1,0,47
2019-04-01,Edinburgh,55.9533,-3.1883,mobile,0,2,34
2019-05-28,Glasgow,55.8642,-4.2518,mobile,2,0,39
2019-02-22,Dundee,56.4620,-2.9707,desktop,0,1,1
2019-09-06,Edinburgh,55.9533,-3.1883,mobile,0,1,51
2019-07-23,London,51.5074,-0.1278,desktop,0,1,26
2019-08-04,Glasgow,55.8642,-4.2518,desktop,1,0,13
2019-02-05,Glasgow,55.8642,-4.2518,mobile,1,0,50
2019-02-28,Kirkcaldy,56.1168,-3.1581,mobile,0,1,1
2019-02-27,Norwich,52.6309,1.2974,desktop,0,1,1
2019-04-16,Glasgow,55.8642,-4.2518,mobile,1,0,21
2019-03-31,Edinburgh,55.9533,-3.1883,desktop,0,1,19
2019-01-30,Edinburgh,55.9533,-3.1883,desktop,0,2,74
2019-09-02,Stirling,56.1165,-3.9369,desktop,1,0,4
2019-03-05,Edinburgh,55.9533,-3.1883,mobile,0,2,34
2019-08-26,Glasgow,55.8642,-4.2518,mobile,0,1,42
2019-06-21,Glasgow,55.8642,-4.2518,desktop,1,0,30
2019-08-31,London,51.5074,-0.1278,mobile,1,0,29
2019-02-06,Edinburgh,55.9533,-3.1883,mobile,0,1,51
2019-08-01,Leatherhead,51.2964,-0.3311,desktop,1,0,1
2019-07-28,Edinburgh,55.9533,-3.1883,desktop,0,1,20
2019-08-21,(not set),0.0000,0.0000,mobile,0,1,12
2019-08-23,Nottingham,52.9548,-1.1581,desktop,1,0,3
2019-05-09,Edinburgh,55.9533,-3.1883,desktop,0,2,87
2019-09-03,London,51.5074,-0.1278,tablet,0,1,2
2019-04-18,Edinburgh,55.9533,-3.1883,desktop,0,1,44
2019-08-02,(not set),0.0000,0.0000,desktop,0,1,19
2019-05-01,Glasgow,55.8642,-4.2518,desktop,1,0,58
2019-07-28,Edinburgh,55.9533,-3.1883,desktop,0,1,20
2019-03-01,London,51.5074,-0.1278,mobile,1,0,48
2019-06-24,Edinburgh,55.9533,-3.1883,mobile,0,1,53
2019-05-14,Glasgow,55.8642,-4.2518,desktop,2,0,43
2019-05-19,East Kilbride,55.7644,-4.1770,mobile,1,0,9
2019-02-15,Dunfermline,56.0717,-3.4522,mobile,0,1,6
2019-02-26,Newcastle upon Tyne,54.9783,-1.6178,mobile,0,1,2
2019-07-12,Edinburgh,55.9533,-3.1883,mobile,0,1,50
2019-03-21,Edinburgh,55.9533,-3.1883,tablet,0,1,3
2019-07-24,Dunfermline,56.0717,-3.4522,desktop,0,1,4
2019-02-27,Edinburgh,55.9533,-3.1883,desktop,0,2,69
2019-08-10,Edinburgh,55.9533,-3.1883,mobile,0,1,30
2019-04-06,Livingston,55.9007,-3.5181,mobile,0,1,4
2019-08-18,Edinburgh,55.9533,-3.1883,mobile,0,3,42
2019-05-22,East Kilbride,55.7644,-4.1770,mobile,1,0,3
2019-07-29,Edinburgh,55.9533,-3.1883,desktop,0,1,40
2019-02-08,Edinburgh,55.9533,-3.1883,mobile,0,1,65
2019-04-17,Glasgow,55.8642,-4.2518,mobile,1,0,14
2019-03-24,Edinburgh,55.9533,-3.1883,mobile,0,1,21
2019-04-06,Glasgow,55.8642,-4.2518,desktop,1,1,16
2019-05-01,Rutherglen,55.8290,-4.2243,desktop,1,0,2
2019-02-28,Stirling,56.1165,-3.9369,mobile,0,1,1
2019-03-12,Edinburgh,55.9533,-3.1883,mobile,0,1,29
2019-08-21,Falkirk,56.0019,-3.7839,desktop,0,1,2
2019-03-04,Milton Keynes,52.0406,-0.7594,desktop,0,1,2
2019-02-05,Glasgow,55.8642,-4.2518,mobile,1,0,50
2019-03-04,Milton Keynes,52.0406,-0.7594,desktop,0,1,2
2019-09-02,London,51.5074,-0.1278,desktop,1,0,35
2019-01-28,London,51.5074,-0.1278,desktop,0,1,17
2019-03-21,Edinburgh,55.9533,-3.1883,tablet,0,1,3
2019-03-05,Glasgow,55.8642,-4.2518,desktop,1,0,45
2019-03-21,Glasgow,55.8642,-4.2518,mobile,1,0,23
2019-08-16,London,51.5074,-0.1278,mobile,1,0,47
2019-08-07,Livingston,55.9007,-3.5181,mobile,0,1,7
2019-02-07,London,51.5074,-0.1278,desktop,0,1,25
2019-07-11,Coatbridge,55.8622,-4.0193,desktop,1,0,4
2019-07-11,Coatbridge,55.8622,-4.0193,desktop,1,0,4
2019-07-22,Hamilton,55.7776,-4.0537,mobile,1,0,5
2019-09-05,Grimsby,53.5675,-0.0808,mobile,0,1,1
2019-06-03,Glasgow,55.8642,-4.2518,desktop,1,0,41
2019-06-29,Edinburgh,55.9533,-3.1883,desktop,0,1,21
2019-05-26,Banbridge,54.3487,-6.2705,mobile,1,1,2
2019-08-16,Glasgow,55.8642,-4.2518,tablet,1,0,3
2019-09-01,Wantage,51.5889,-1.4265,mobile,0,1,2
2019-03-01,Rutherglen,55.8290,-4.2243,mobile,1,0,5
2019-03-13,Edinburgh,55.9533,-3.1883,desktop,0,1,87
2019-02-20,Edinburgh,55.9533,-3.1883,mobile,0,4,30
2019-04-03,Edinburgh,55.9533,-3.1883,desktop,0,3,67
2019-08-07,Edinburgh,55.9533,-3.1883,desktop,0,2,66
2019-03-01,Edinburgh,55.9533,-3.1883,mobile,0,1,55
2019-07-10,Dunfermline,56.0717,-3.4522,desktop,0,1,4
2019-06-19,Edinburgh,55.9533,-3.1883,desktop,1,1,60
2019-07-29,Irvine,55.6116,-4.6696,mobile,1,0,1
2019-05-20,Johnstone,55.8373,-4.5139,mobile,1,0,1
2019-02-25,Edinburgh,55.9533,-3.1883,desktop,0,3,68
2019-07-20,Glasgow,55.8642,-4.2518,mobile,0,1,49
2019-03-16,Sale,53.4256,-2.3237,desktop,0,1,2
2019-01-29,(not set),0.0000,0.0000,mobile,1,1,9
2019-09-05,Edinburgh,55.9533,-3.1883,desktop,0,2,83
2019-06-04,Glasgow,55.8642,-4.2518,mobile,1,1,42
2019-02-10,Edinburgh,55.9533,-3.1883,mobile,0,1,48
